[epoch 0 it 0] dloss = 1.400780200958252, gloss = 0.6724709868431091, prop_real = 1.0, modes = 1, kl = 3.2188758248682006
[epoch 1 it 1000] dloss = 1.3675132989883423, gloss = 0.7185279130935669, prop_real = 0.36204, modes = 25, kl = 0.00029967159401650357
[epoch 2 it 2000] dloss = 1.3678340911865234, gloss = 0.7009975910186768, prop_real = 0.63392, modes = 25, kl = 0.00028090153863581636
[epoch 3 it 3000] dloss = 1.375580072402954, gloss = 0.6971653699874878, prop_real = 0.71414, modes = 25, kl = 0.000281100276338897
[epoch 4 it 4000] dloss = 1.3769752979278564, gloss = 0.7074124813079834, prop_real = 0.78298, modes = 25, kl = 0.000281100276338897
[epoch 5 it 5000] dloss = 1.3855470418930054, gloss = 0.7189416289329529, prop_real = 0.91002, modes = 25, kl = 0.000281100276338897
[epoch 6 it 6000] dloss = 1.3833497762680054, gloss = 0.689872145652771, prop_real = 0.89542, modes = 25, kl = 0.000281100276338897
[epoch 7 it 7000] dloss = 1.383256435394287, gloss = 0.6749438047409058, prop_real = 0.99552, modes = 25, kl = 0.000281100276338897
[epoch 8 it 8000] dloss = 1.37758469581604, gloss = 0.715850830078125, prop_real = 0.97476, modes = 25, kl = 0.000281100276338897
[epoch 9 it 9000] dloss = 1.3894314765930176, gloss = 0.687334418296814, prop_real = 0.99948, modes = 25, kl = 0.000281100276338897
[epoch 10 it 10000] dloss = 1.386155605316162, gloss = 0.6865707039833069, prop_real = 0.98376, modes = 25, kl = 0.000281100276338897
[epoch 11 it 11000] dloss = 1.3890411853790283, gloss = 0.6822744607925415, prop_real = 0.9977, modes = 25, kl = 0.000281100276338897
[epoch 12 it 12000] dloss = 1.3864479064941406, gloss = 0.6843546032905579, prop_real = 0.99996, modes = 25, kl = 0.000281100276338897
[epoch 13 it 13000] dloss = 1.3863937854766846, gloss = 0.6903897523880005, prop_real = 0.99674, modes = 25, kl = 0.000281100276338897
[epoch 14 it 14000] dloss = 1.3803186416625977, gloss = 0.6863904595375061, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 15 it 15000] dloss = 1.3869647979736328, gloss = 0.6941747665405273, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 16 it 16000] dloss = 1.3860902786254883, gloss = 0.6987336277961731, prop_real = 0.99992, modes = 25, kl = 0.000281100276338897
[epoch 17 it 17000] dloss = 1.3854434490203857, gloss = 0.6806292533874512, prop_real = 0.99996, modes = 25, kl = 0.000281100276338897
[epoch 18 it 18000] dloss = 1.386888027191162, gloss = 0.6974920630455017, prop_real = 0.99864, modes = 25, kl = 0.000281100276338897
[epoch 19 it 19000] dloss = 1.3844590187072754, gloss = 0.6921495199203491, prop_real = 0.99996, modes = 25, kl = 0.000281100276338897
[epoch 20 it 20000] dloss = 1.38712739944458, gloss = 0.6743599772453308, prop_real = 0.97572, modes = 25, kl = 0.000281100276338897
[epoch 21 it 21000] dloss = 1.3866076469421387, gloss = 0.6958552598953247, prop_real = 0.99366, modes = 25, kl = 0.000281100276338897
[epoch 22 it 22000] dloss = 1.3875224590301514, gloss = 0.6947160959243774, prop_real = 0.99996, modes = 25, kl = 0.000281100276338897
[epoch 23 it 23000] dloss = 1.3877365589141846, gloss = 0.6949036121368408, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 24 it 24000] dloss = 1.38029944896698, gloss = 0.6832556128501892, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 25 it 25000] dloss = 1.385176181793213, gloss = 0.6874147057533264, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 26 it 26000] dloss = 1.3851020336151123, gloss = 0.6846057772636414, prop_real = 0.99208, modes = 25, kl = 0.000281100276338897
[epoch 27 it 27000] dloss = 1.387001395225525, gloss = 0.6933453679084778, prop_real = 0.99634, modes = 25, kl = 0.000281100276338897
[epoch 28 it 28000] dloss = 1.3876583576202393, gloss = 0.7069563269615173, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 29 it 29000] dloss = 1.3869919776916504, gloss = 0.6939467191696167, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 30 it 30000] dloss = 1.3862707614898682, gloss = 0.6947795152664185, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 31 it 31000] dloss = 1.3831210136413574, gloss = 0.6882138848304749, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 32 it 32000] dloss = 1.385779857635498, gloss = 0.7006443738937378, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 33 it 33000] dloss = 1.3883371353149414, gloss = 0.704702615737915, prop_real = 0.99084, modes = 25, kl = 0.000281100276338897
[epoch 34 it 34000] dloss = 1.3869324922561646, gloss = 0.7035601139068604, prop_real = 0.97934, modes = 25, kl = 0.000281100276338897
[epoch 35 it 35000] dloss = 1.3869080543518066, gloss = 0.6946280002593994, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 36 it 36000] dloss = 1.3860878944396973, gloss = 0.6935520768165588, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 37 it 37000] dloss = 1.3868975639343262, gloss = 0.6947476267814636, prop_real = 0.99992, modes = 25, kl = 0.000281100276338897
[epoch 38 it 38000] dloss = 1.3865827322006226, gloss = 0.6898239850997925, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 39 it 39000] dloss = 1.3874009847640991, gloss = 0.7005614042282104, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 40 it 40000] dloss = 1.3866651058197021, gloss = 0.6970324516296387, prop_real = 0.99868, modes = 25, kl = 0.000281100276338897
[epoch 41 it 41000] dloss = 1.3877813816070557, gloss = 0.691303551197052, prop_real = 0.98822, modes = 25, kl = 0.000281100276338897
[epoch 42 it 42000] dloss = 1.3868186473846436, gloss = 0.6912837624549866, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 43 it 43000] dloss = 1.3863577842712402, gloss = 0.6960654854774475, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 44 it 44000] dloss = 1.3863208293914795, gloss = 0.6975343227386475, prop_real = 0.99976, modes = 25, kl = 0.000281100276338897
[epoch 45 it 45000] dloss = 1.3868792057037354, gloss = 0.6918068528175354, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 46 it 46000] dloss = 1.3867130279541016, gloss = 0.6974619030952454, prop_real = 0.99998, modes = 25, kl = 0.000281100276338897
[epoch 47 it 47000] dloss = 1.3865625858306885, gloss = 0.6891404390335083, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 48 it 48000] dloss = 1.3867180347442627, gloss = 0.7010319828987122, prop_real = 0.99976, modes = 25, kl = 0.000281100276338897
[epoch 49 it 49000] dloss = 1.3869917392730713, gloss = 0.6866384744644165, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 50 it 50000] dloss = 1.386687994003296, gloss = 0.6960374116897583, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 51 it 51000] dloss = 1.3874025344848633, gloss = 0.6865234971046448, prop_real = 0.95934, modes = 25, kl = 0.000281100276338897
[epoch 52 it 52000] dloss = 1.386845588684082, gloss = 0.6929179430007935, prop_real = 0.93782, modes = 24, kl = 0.000281100276338897
[epoch 53 it 53000] dloss = 1.3861331939697266, gloss = 0.691589891910553, prop_real = 0.9928, modes = 25, kl = 0.000281100276338897
[epoch 54 it 54000] dloss = 1.3864126205444336, gloss = 0.6930819749832153, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 55 it 55000] dloss = 1.386452317237854, gloss = 0.6955868601799011, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 56 it 56000] dloss = 1.3867037296295166, gloss = 0.6882848739624023, prop_real = 0.9999, modes = 25, kl = 0.000281100276338897
[epoch 57 it 57000] dloss = 1.3865671157836914, gloss = 0.6883395314216614, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 58 it 58000] dloss = 1.386493444442749, gloss = 0.6868899464607239, prop_real = 0.98356, modes = 25, kl = 0.000281100276338897
[epoch 59 it 59000] dloss = 1.3866583108901978, gloss = 0.6990234851837158, prop_real = 0.97954, modes = 25, kl = 0.000281100276338897
[epoch 60 it 60000] dloss = 1.386826753616333, gloss = 0.6923629641532898, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 61 it 61000] dloss = 1.3869860172271729, gloss = 0.6897202730178833, prop_real = 0.99996, modes = 25, kl = 0.000281100276338897
[epoch 62 it 62000] dloss = 1.3865586519241333, gloss = 0.689149022102356, prop_real = 0.99992, modes = 25, kl = 0.000281100276338897
[epoch 63 it 63000] dloss = 1.386749029159546, gloss = 0.6913409233093262, prop_real = 0.99968, modes = 25, kl = 0.000281100276338897
[epoch 64 it 64000] dloss = 1.3865764141082764, gloss = 0.68987637758255, prop_real = 0.9999, modes = 25, kl = 0.000281100276338897
[epoch 65 it 65000] dloss = 1.3865883350372314, gloss = 0.6947153806686401, prop_real = 0.99942, modes = 25, kl = 0.000281100276338897
[epoch 66 it 66000] dloss = 1.386244535446167, gloss = 0.6895818114280701, prop_real = 0.9999, modes = 25, kl = 0.000281100276338897
[epoch 67 it 67000] dloss = 1.3863916397094727, gloss = 0.6884794235229492, prop_real = 0.9948, modes = 25, kl = 0.000281100276338897
[epoch 68 it 68000] dloss = 1.3868024349212646, gloss = 0.6905305981636047, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 69 it 69000] dloss = 1.3864490985870361, gloss = 0.6899062991142273, prop_real = 0.98908, modes = 25, kl = 0.000281100276338897
[epoch 70 it 70000] dloss = 1.3864697217941284, gloss = 0.6902320981025696, prop_real = 0.97996, modes = 25, kl = 0.000281100276338897
[epoch 71 it 71000] dloss = 1.386493444442749, gloss = 0.6958163380622864, prop_real = 0.99998, modes = 25, kl = 0.000281100276338897
[epoch 72 it 72000] dloss = 1.3864798545837402, gloss = 0.6951910257339478, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 73 it 73000] dloss = 1.3865385055541992, gloss = 0.6949591040611267, prop_real = 0.99994, modes = 25, kl = 0.000281100276338897
[epoch 74 it 74000] dloss = 1.386514663696289, gloss = 0.6953295469284058, prop_real = 0.98018, modes = 25, kl = 0.000281100276338897
[epoch 75 it 75000] dloss = 1.3864705562591553, gloss = 0.6959428787231445, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 76 it 76000] dloss = 1.3858287334442139, gloss = 0.6924358010292053, prop_real = 0.98116, modes = 25, kl = 0.000281100276338897
[epoch 77 it 77000] dloss = 1.3863271474838257, gloss = 0.6890699863433838, prop_real = 0.9999, modes = 25, kl = 0.000281100276338897
[epoch 78 it 78000] dloss = 1.3864939212799072, gloss = 0.6954410672187805, prop_real = 0.98056, modes = 25, kl = 0.000281100276338897
[epoch 79 it 79000] dloss = 1.3864433765411377, gloss = 0.6917779445648193, prop_real = 0.98106, modes = 25, kl = 0.000281100276338897
[epoch 80 it 80000] dloss = 1.3866050243377686, gloss = 0.6932644248008728, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 81 it 81000] dloss = 1.3865296840667725, gloss = 0.696319580078125, prop_real = 0.95872, modes = 25, kl = 0.000281100276338897
[epoch 82 it 82000] dloss = 1.386511206626892, gloss = 0.6935746073722839, prop_real = 0.9702, modes = 25, kl = 0.000281100276338897
[epoch 83 it 83000] dloss = 1.38649320602417, gloss = 0.6927695274353027, prop_real = 0.99778, modes = 25, kl = 0.000281100276338897
[epoch 84 it 84000] dloss = 1.3865010738372803, gloss = 0.6915995478630066, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 85 it 85000] dloss = 1.3864766359329224, gloss = 0.6913841366767883, prop_real = 0.99998, modes = 25, kl = 0.000281100276338897
[epoch 86 it 86000] dloss = 1.3864109516143799, gloss = 0.6935902237892151, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 87 it 87000] dloss = 1.3856793642044067, gloss = 0.6928678750991821, prop_real = 0.9797, modes = 25, kl = 0.000281100276338897
[epoch 88 it 88000] dloss = 1.3864493370056152, gloss = 0.6904212236404419, prop_real = 0.9687, modes = 25, kl = 0.000281100276338897
[epoch 89 it 89000] dloss = 1.3865129947662354, gloss = 0.6965212821960449, prop_real = 0.99972, modes = 25, kl = 0.000281100276338897
[epoch 90 it 90000] dloss = 1.3864414691925049, gloss = 0.6923166513442993, prop_real = 0.98108, modes = 25, kl = 0.000281100276338897
[epoch 91 it 91000] dloss = 1.3864151239395142, gloss = 0.6947991251945496, prop_real = 0.96102, modes = 25, kl = 0.000281100276338897
[epoch 92 it 92000] dloss = 1.3864167928695679, gloss = 0.688969075679779, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 93 it 93000] dloss = 1.3864624500274658, gloss = 0.6886717081069946, prop_real = 0.98102, modes = 25, kl = 0.000281100276338897
[epoch 94 it 94000] dloss = 1.3863719701766968, gloss = 0.6951457858085632, prop_real = 0.98124, modes = 25, kl = 0.000281100276338897
[epoch 95 it 95000] dloss = 1.3864229917526245, gloss = 0.6949113011360168, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
[epoch 96 it 96000] dloss = 1.3864600658416748, gloss = 0.6898907423019409, prop_real = 0.99, modes = 25, kl = 0.000281100276338897
[epoch 97 it 97000] dloss = 1.386340856552124, gloss = 0.6925326585769653, prop_real = 0.9516, modes = 25, kl = 0.000281100276338897
[epoch 98 it 98000] dloss = 1.3863446712493896, gloss = 0.6942815780639648, prop_real = 0.98882, modes = 25, kl = 0.000281100276338897
[epoch 99 it 99000] dloss = 1.3864054679870605, gloss = 0.6933340430259705, prop_real = 1.0, modes = 25, kl = 0.000281100276338897
